acquisition_id,byte_size,evidence_id,evidence_kind,fixity_verified_at,immutable_locator,notes,payload_sha256,rights_state,source_id,source_locator,source_version_id
sha256:0a9b9ae01b38df3c2e5b7b9715d9e650dde144fdf285e697415be970d0065116,3077636,evidence:sha256:0a9b9ae01b38df3c2e5b7b9715d9e650dde144fdf285e697415be970d0065116,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:0a9b9ae01b38df3c2e5b7b9715d9e650dde144fdf285e697415be970d0065116,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,0a9b9ae01b38df3c2e5b7b9715d9e650dde144fdf285e697415be970d0065116,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/B013E0789A07D708CA258B030013670A/$File/PDF%20Version%20-%201%20July%202024%20Category%201%20-%20Professional%20Attendances.pdf,au_mbs_historical_0260
sha256:0aafc9b9accb41c1e7600628d0ff8aac2e4a3a9c4dc47ed12bd39bd38d18ad3b,1662060,evidence:sha256:0aafc9b9accb41c1e7600628d0ff8aac2e4a3a9c4dc47ed12bd39bd38d18ad3b,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:0aafc9b9accb41c1e7600628d0ff8aac2e4a3a9c4dc47ed12bd39bd38d18ad3b,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,0aafc9b9accb41c1e7600628d0ff8aac2e4a3a9c4dc47ed12bd39bd38d18ad3b,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/293EEBA9AB153C56CA2584EB001547AF/$File/202003-Cat6.pdf,au_mbs_historical_0025
sha256:0b492b656e822bbe544fdb7059028a71b9c4076f5eee9c09344713d6199730e1,11695838,evidence:sha256:0b492b656e822bbe544fdb7059028a71b9c4076f5eee9c09344713d6199730e1,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:0b492b656e822bbe544fdb7059028a71b9c4076f5eee9c09344713d6199730e1,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,0b492b656e822bbe544fdb7059028a71b9c4076f5eee9c09344713d6199730e1,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/C73750F033F64E1CCA258C190017A963/$File/MBS%20Book%20-%201%20March%202025.pdf,au_mbs_historical_0282
sha256:0d12c761e132e8ed71619b106df756387112f727d539278409836f9da1719f37,187997,evidence:sha256:0d12c761e132e8ed71619b106df756387112f727d539278409836f9da1719f37,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:0d12c761e132e8ed71619b106df756387112f727d539278409836f9da1719f37,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,0d12c761e132e8ed71619b106df756387112f727d539278409836f9da1719f37,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/515793D58E889BD0CA257CD100033990/$File/200811Dental.pdf,au_mbs_historical_0156
sha256:0dddc38b9d2a47f313c1e6ce95ca9f34822e0800a73963308cd3f9de3262fc5e,17024985,evidence:sha256:0dddc38b9d2a47f313c1e6ce95ca9f34822e0800a73963308cd3f9de3262fc5e,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:0dddc38b9d2a47f313c1e6ce95ca9f34822e0800a73963308cd3f9de3262fc5e,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,0dddc38b9d2a47f313c1e6ce95ca9f34822e0800a73963308cd3f9de3262fc5e,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/A7F6A9DA0E280DCCCA2586140008B368/$File/201512-MBS.pdf,au_mbs_historical_0259
sha256:0e09a522b926b97998c4f011d0cc387488032b4e40df5329f330ac9a5243ad74,13088403,evidence:sha256:0e09a522b926b97998c4f011d0cc387488032b4e40df5329f330ac9a5243ad74,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:0e09a522b926b97998c4f011d0cc387488032b4e40df5329f330ac9a5243ad74,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,0e09a522b926b97998c4f011d0cc387488032b4e40df5329f330ac9a5243ad74,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/650f3eec0dfb990fca25692100069854/0b61e1e80b332754ca258c9e0000c7d8/$FILE/MBS%20Book%201%20July%202025.PDF,au_mbs_historical_0002
sha256:0f0696f0f97cc9999042aea36ba28507aa3ef746027933ad5df41356c1277d4f,805301,evidence:sha256:0f0696f0f97cc9999042aea36ba28507aa3ef746027933ad5df41356c1277d4f,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:0f0696f0f97cc9999042aea36ba28507aa3ef746027933ad5df41356c1277d4f,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,0f0696f0f97cc9999042aea36ba28507aa3ef746027933ad5df41356c1277d4f,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/4C767FC45843CB02CA25898500825ACA/$File/PDF%20version%20of%20the%20July%202023%20Category%202%20-%20Diagnostic%20Procedures.pdf,au_mbs_historical_0054
sha256:10a87cdbba38a5678a72aecab7f033085fde2af1f7c85cfa277e1e1680851c4a,16876913,evidence:sha256:10a87cdbba38a5678a72aecab7f033085fde2af1f7c85cfa277e1e1680851c4a,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:10a87cdbba38a5678a72aecab7f033085fde2af1f7c85cfa277e1e1680851c4a,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,10a87cdbba38a5678a72aecab7f033085fde2af1f7c85cfa277e1e1680851c4a,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/70CAF134CEE45219CA258614007874F8/$File/201607-MBS.pdf,au_mbs_historical_0194
sha256:10d4a90537b250cf26260fdcdf47bcfb619f21e21700aaceffc046e4fc1efd9b,3982142,evidence:sha256:10d4a90537b250cf26260fdcdf47bcfb619f21e21700aaceffc046e4fc1efd9b,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:10d4a90537b250cf26260fdcdf47bcfb619f21e21700aaceffc046e4fc1efd9b,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,10d4a90537b250cf26260fdcdf47bcfb619f21e21700aaceffc046e4fc1efd9b,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/E137A6BDE8494881CA2585FF000A72FF/$File/201203-MBS.pdf,au_mbs_historical_0301
sha256:112b94c3f445d1881c2a0fd26de727e95658627266f79610e34e71736337997a,18332287,evidence:sha256:112b94c3f445d1881c2a0fd26de727e95658627266f79610e34e71736337997a,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:112b94c3f445d1881c2a0fd26de727e95658627266f79610e34e71736337997a,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,112b94c3f445d1881c2a0fd26de727e95658627266f79610e34e71736337997a,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/F540E955EFE9BFD5CA25861500000C28/$File/201902-MBS.pdf,au_mbs_historical_0321
