decided_at,decision_id,from_layer,input_sha256,passed_gate_ids,reason_codes,required_gate_ids,scope_notes,status,subject_id,to_layer
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0151,bronze_b1,"[""9fe3bc53889ab35ebce768658b999cb3f6790d9cd7a78a7a52e838b08701438f""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:9fe3bc53889ab35ebce768658b999cb3f6790d9cd7a78a7a52e838b08701438f,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0096,bronze_b1,"[""e99701522aa901965e6bb8105710ca23661170ad3963aa84f73e4905ef5b280f""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:e99701522aa901965e6bb8105710ca23661170ad3963aa84f73e4905ef5b280f,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0108,bronze_b1,"[""b05cbcdbbf87a686d925e048c7c9e3067fda6a241828f41ade1299f38b9952e3""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:b05cbcdbbf87a686d925e048c7c9e3067fda6a241828f41ade1299f38b9952e3,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0106,bronze_b1,"[""bf9c2a9132a6c9a5602f14592860b8d80c97e8fd57c29a26e5323b0a40ee0532""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:bf9c2a9132a6c9a5602f14592860b8d80c97e8fd57c29a26e5323b0a40ee0532,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0234,bronze_b1,"[""4f10b257ecd2e7a200d2b004530cb25bc7d0bf698cbae2f700eb2efe5de426c3""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:4f10b257ecd2e7a200d2b004530cb25bc7d0bf698cbae2f700eb2efe5de426c3,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0323,bronze_b1,"[""4959301e740d74fc0671f99f3c09b466b061f684cef605af223cae20e8094f2f""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:4959301e740d74fc0671f99f3c09b466b061f684cef605af223cae20e8094f2f,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0222,bronze_b1,"[""08aad0461198d78c4943e21fbe5f55af2a5945bee306e30f0bbc8401d8f173ea""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:08aad0461198d78c4943e21fbe5f55af2a5945bee306e30f0bbc8401d8f173ea,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0041,bronze_b1,"[""1605e219583f08bc3008c81c89c94b4a90e67e377e74da6bab37929d1088534c""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:1605e219583f08bc3008c81c89c94b4a90e67e377e74da6bab37929d1088534c,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0118,bronze_b1,"[""96f0769c9ed065e4efda8d618790c5116041f268b7330b4019128b3f58a44455""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:96f0769c9ed065e4efda8d618790c5116041f268b7330b4019128b3f58a44455,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0040,bronze_b1,"[""b695ed7aca9589613668261daf85ebf4a8c5b7d2fdc1257f5a55873bbc90c13e""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:b695ed7aca9589613668261daf85ebf4a8c5b7d2fdc1257f5a55873bbc90c13e,bronze_b2
