action,is_official_github_action,line,pin_class,policy_note,policy_status,ref,uses,workflow
actions/checkout,True,38,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/osf.yml
actions/setup-go,True,41,sha,Action is pinned to a full commit SHA.,pass,924ae3a1cded613372ab5595356fb5720e22ba16,actions/setup-go@924ae3a1cded613372ab5595356fb5720e22ba16,.github/workflows/osf.yml
actions/upload-artifact,True,61,sha,Action is pinned to a full commit SHA.,pass,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,.github/workflows/osf.yml
actions/checkout,True,72,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/osf.yml
actions/setup-go,True,75,sha,Action is pinned to a full commit SHA.,pass,924ae3a1cded613372ab5595356fb5720e22ba16,actions/setup-go@924ae3a1cded613372ab5595356fb5720e22ba16,.github/workflows/osf.yml
actions/upload-artifact,True,118,sha,Action is pinned to a full commit SHA.,pass,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,.github/workflows/osf.yml
actions/checkout,True,128,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/osf.yml
astral-sh/setup-uv,False,131,sha,Action is pinned to a full commit SHA.,pass,11f9893b081a58869d3b5fccaea48c9e9e46f990,astral-sh/setup-uv@11f9893b081a58869d3b5fccaea48c9e9e46f990,.github/workflows/osf.yml
prefix-dev/setup-pixi,False,132,sha,Action is pinned to a full commit SHA.,pass,a09b6247153796b190642a2b53fac4241043cf6f,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,.github/workflows/osf.yml
actions/setup-go,True,133,sha,Action is pinned to a full commit SHA.,pass,924ae3a1cded613372ab5595356fb5720e22ba16,actions/setup-go@924ae3a1cded613372ab5595356fb5720e22ba16,.github/workflows/osf.yml
actions/upload-artifact,True,159,sha,Action is pinned to a full commit SHA.,pass,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,.github/workflows/osf.yml
