action,current_uses,line,notes,ref,resolved_sha,status,suggested_uses,workflow
actions/deploy-pages,actions/deploy-pages@d6db90164ac5ed86f2b6aed7e0febac5b3c0c03e,62,Already pinned to a full SHA.,d6db90164ac5ed86f2b6aed7e0febac5b3c0c03e,,skipped_sha,,.github/workflows/pages.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,18,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/release-readiness.yml
astral-sh/setup-uv,astral-sh/setup-uv@fac544c07dec837d0ccb6301d7b5580bf5edae39,21,Already pinned to a full SHA.,fac544c07dec837d0ccb6301d7b5580bf5edae39,,skipped_sha,,.github/workflows/release-readiness.yml
actions/setup-node,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,22,Already pinned to a full SHA.,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,,skipped_sha,,.github/workflows/release-readiness.yml
actions/upload-artifact,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,42,Already pinned to a full SHA.,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,,skipped_sha,,.github/workflows/release-readiness.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,17,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/release.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,20,Already pinned to a full SHA.,a09b6247153796b190642a2b53fac4241043cf6f,,skipped_sha,,.github/workflows/release.yml
actions/attest,actions/attest@a1948c3f048ba23858d222213b7c278aabede763,30,Already pinned to a full SHA.,a1948c3f048ba23858d222213b7c278aabede763,,skipped_sha,,.github/workflows/release.yml
actions/attest,actions/attest@a1948c3f048ba23858d222213b7c278aabede763,34,Already pinned to a full SHA.,a1948c3f048ba23858d222213b7c278aabede763,,skipped_sha,,.github/workflows/release.yml
actions/attest,actions/attest@a1948c3f048ba23858d222213b7c278aabede763,38,Already pinned to a full SHA.,a1948c3f048ba23858d222213b7c278aabede763,,skipped_sha,,.github/workflows/release.yml
softprops/action-gh-release,softprops/action-gh-release@718ea10b132b3b2eba29c1007bb80653f286566b,54,Already pinned to a full SHA.,718ea10b132b3b2eba29c1007bb80653f286566b,,skipped_sha,,.github/workflows/release.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,22,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/repo-automation.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,25,Already pinned to a full SHA.,a09b6247153796b190642a2b53fac4241043cf6f,,skipped_sha,,.github/workflows/repo-automation.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,22,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/scorecard.yml
ossf/scorecard-action,ossf/scorecard-action@4eaacf0543bb3f2c246792bd56e8cdeffafb205a,26,Already pinned to a full SHA.,4eaacf0543bb3f2c246792bd56e8cdeffafb205a,,skipped_sha,,.github/workflows/scorecard.yml
github/codeql-action/upload-sarif,github/codeql-action/upload-sarif@54f647b7e1bb85c95cddabcd46b0c578ec92bc1a,32,Already pinned to a full SHA.,54f647b7e1bb85c95cddabcd46b0c578ec92bc1a,,skipped_sha,,.github/workflows/scorecard.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,23,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/security-assurance.yml
rhysd/actionlint,rhysd/actionlint@03d0035246f3e81f36aed592ffb4bebf33a03106,26,Already pinned to a full SHA.,03d0035246f3e81f36aed592ffb4bebf33a03106,,skipped_sha,,.github/workflows/security-assurance.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,32,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/security-assurance.yml
gitleaks/gitleaks-action,gitleaks/gitleaks-action@ff98106e4c7b2bc287b24eaf42907196329070c7,36,Already pinned to a full SHA.,ff98106e4c7b2bc287b24eaf42907196329070c7,,skipped_sha,,.github/workflows/security-assurance.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,46,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/security-assurance.yml
astral-sh/setup-uv,astral-sh/setup-uv@fac544c07dec837d0ccb6301d7b5580bf5edae39,49,Already pinned to a full SHA.,fac544c07dec837d0ccb6301d7b5580bf5edae39,,skipped_sha,,.github/workflows/security-assurance.yml
actions/upload-artifact,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,64,Already pinned to a full SHA.,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,,skipped_sha,,.github/workflows/security-assurance.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,20,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/security.yml
github/codeql-action/init,github/codeql-action/init@54f647b7e1bb85c95cddabcd46b0c578ec92bc1a,23,Already pinned to a full SHA.,54f647b7e1bb85c95cddabcd46b0c578ec92bc1a,,skipped_sha,,.github/workflows/security.yml
github/codeql-action/analyze,github/codeql-action/analyze@54f647b7e1bb85c95cddabcd46b0c578ec92bc1a,27,Already pinned to a full SHA.,54f647b7e1bb85c95cddabcd46b0c578ec92bc1a,,skipped_sha,,.github/workflows/security.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,36,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/security.yml
actions/dependency-review-action,actions/dependency-review-action@a1d282b36b6f3519aa1f3fc636f609c47dddb294,39,Already pinned to a full SHA.,a1d282b36b6f3519aa1f3fc636f609c47dddb294,,skipped_sha,,.github/workflows/security.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,46,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/security.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,49,Already pinned to a full SHA.,a09b6247153796b190642a2b53fac4241043cf6f,,skipped_sha,,.github/workflows/security.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,61,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/security.yml
actions/setup-node,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,64,Already pinned to a full SHA.,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,,skipped_sha,,.github/workflows/security.yml
actions/checkout,actions/checkout@df4cb1c069e1874edd31b4311f1884172cec0e10,16,Already pinned to a full SHA.,df4cb1c069e1874edd31b4311f1884172cec0e10,,skipped_sha,,.github/workflows/stack-canary.yml
actions/setup-python,actions/setup-python@42375524e23c412d93fb67b49958b491fce71c38,19,Already pinned to a full SHA.,42375524e23c412d93fb67b49958b491fce71c38,,skipped_sha,,.github/workflows/stack-canary.yml
astral-sh/setup-uv,astral-sh/setup-uv@fac544c07dec837d0ccb6301d7b5580bf5edae39,22,Already pinned to a full SHA.,fac544c07dec837d0ccb6301d7b5580bf5edae39,,skipped_sha,,.github/workflows/stack-canary.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,23,Already pinned to a full SHA.,a09b6247153796b190642a2b53fac4241043cf6f,,skipped_sha,,.github/workflows/stack-canary.yml
actions/setup-node,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,24,Already pinned to a full SHA.,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,,skipped_sha,,.github/workflows/stack-canary.yml
