allowed,import_kind,line,reason,source_layer,source_module,target_layer,target_module
True,from,10,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.data_dictionary,foundation,reimburse_atlas.io
True,from,11,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.data_dictionary,foundation,reimburse_atlas.models
True,from,12,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.data_dictionary,orchestration,reimburse_atlas.publication
True,from,17,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.data_dictionary,foundation,reimburse_atlas.registry
True,from,10,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.data_quality,foundation,reimburse_atlas.io
True,from,11,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.data_quality,foundation,reimburse_atlas.models
True,from,12,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.data_quality,foundation,reimburse_atlas.registry
True,from,15,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.datalake,foundation,reimburse_atlas.registry
True,from,13,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.demonstrators,foundation,reimburse_atlas.models
True,from,10,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.evidence_readiness,foundation,reimburse_atlas.io
True,from,11,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.evidence_readiness,foundation,reimburse_atlas.models
True,from,12,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.evidence_readiness,foundation,reimburse_atlas.registry
True,from,9,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.final_handoff,foundation,reimburse_atlas.io
True,from,10,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.final_handoff,foundation,reimburse_atlas.models
True,from,11,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.final_handoff,foundation,reimburse_atlas.registry
True,from,10,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.github_project,foundation,reimburse_atlas.io
True,from,11,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.github_project,foundation,reimburse_atlas.models
True,from,12,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.github_project,foundation,reimburse_atlas.registry
True,from,11,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.gold_standard,foundation,reimburse_atlas.contracts
True,from,12,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.gold_standard,foundation,reimburse_atlas.models
True,from,11,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.graph,foundation,reimburse_atlas.models
True,from,25,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.graph,foundation,reimburse_atlas.terminologies
True,from,3,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.ingest,orchestration,reimburse_atlas.ingest.plan
True,from,18,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.ingest.plan,foundation,reimburse_atlas.models
True,from,15,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.ingestion,orchestration,reimburse_atlas.adapters
True,from,16,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.ingestion,foundation,reimburse_atlas.models
True,from,11,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.licence_review,foundation,reimburse_atlas.io
True,from,12,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.licence_review,orchestration,reimburse_atlas.publication
True,from,13,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.licence_review,foundation,reimburse_atlas.registry
True,from,8,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas.licensing,foundation,reimburse_atlas.models
True,from,18,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.local_quality,foundation,reimburse_atlas.io
True,from,19,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.local_quality,foundation,reimburse_atlas.registry
True,from,20,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.local_quality,foundation,reimburse_atlas.toolchain
True,from,18,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.local_sources,foundation,reimburse_atlas.contracts
True,from,23,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.local_sources,foundation,reimburse_atlas.io
True,from,24,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.local_sources,parsing,reimburse_atlas.parsers
True,from,32,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.local_sources,parsing,reimburse_atlas.parsers.mbs_txt
True,from,33,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.local_sources,foundation,reimburse_atlas.registry
True,from,34,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.local_sources,parsing,reimburse_atlas.snapshots
True,from,12,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.mcp_server,analysis,reimburse_atlas.analysis
True,from,13,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.mcp_server,orchestration,reimburse_atlas.ingest
True,from,14,Layer dependency respects inward/downward architecture.,interface,reimburse_atlas.mcp_server,foundation,reimburse_atlas.registry
True,from,10,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.osf,foundation,reimburse_atlas.io
True,from,11,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.osf,foundation,reimburse_atlas.models
True,from,12,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.osf,foundation,reimburse_atlas.registry
True,from,3,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers,parsing,reimburse_atlas.parsers.cms_asp_csv
True,from,4,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers,parsing,reimburse_atlas.parsers.cms_clfs_csv
True,from,5,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers,parsing,reimburse_atlas.parsers.cms_pfs_csv
True,from,6,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers,parsing,reimburse_atlas.parsers.fixture_schedule
True,from,7,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers,parsing,reimburse_atlas.parsers.mbs_txt
True,from,8,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers,parsing,reimburse_atlas.parsers.mbs_xml
True,from,9,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers,parsing,reimburse_atlas.parsers.nhs_genomic_directory_csv
True,from,10,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers,parsing,reimburse_atlas.parsers.pbs_csv
True,from,8,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.base,foundation,reimburse_atlas.contracts
True,from,11,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.cms_asp_csv,foundation,reimburse_atlas.contracts
True,from,12,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.cms_asp_csv,foundation,reimburse_atlas.parsers.normalise
True,from,11,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.cms_clfs_csv,foundation,reimburse_atlas.contracts
True,from,12,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.cms_clfs_csv,foundation,reimburse_atlas.parsers.normalise
True,from,12,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.cms_pfs_csv,foundation,reimburse_atlas.contracts
True,from,13,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.cms_pfs_csv,foundation,reimburse_atlas.parsers.normalise
True,from,9,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.fixture_schedule,foundation,reimburse_atlas.contracts
True,from,21,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.mbs_txt,foundation,reimburse_atlas.contracts
True,from,22,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.mbs_txt,foundation,reimburse_atlas.parsers.normalise
True,from,16,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.mbs_xml,foundation,reimburse_atlas.contracts
True,from,17,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.mbs_xml,foundation,reimburse_atlas.parsers.normalise
True,from,11,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.nhs_genomic_directory_csv,foundation,reimburse_atlas.contracts
True,from,12,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.nhs_genomic_directory_csv,foundation,reimburse_atlas.parsers.normalise
