candidate_score,case_id,duplicate_group,evidence_fields,family,left_code,left_source_id,proposed_difficulty,proposed_label_hypothesis,provenance_checksums,right_code,right_source_id,schema_version,source_versions,target_relation
0.3,map_3646faf3cccebdf93fc6,849572adffcc3e2d,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",procedures_pathology,08869,au_mbs,ambiguous,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""d1dc10fd298e1125641bfd774e7adfa6f6895e903a5074c7af3826c8643e7794""]",C9461,us_cms_hcpcs_level_ii,mapping-candidate-frame-v2,"[""au_mbs_20260701_txt_pair"", ""us_cms_hcpcs_level_ii_2026_07""]",clinically_comparable_service_or_test_class
0.6,map_36593a8290561e58a11e,bcdc570444a1f6ad,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",medicines,2166B,au_pbs,ambiguous,positive_candidate,"[""0c613d97430e441e8eefcca09332800ccac68f177d144e6fb4b11a1c94d83b3a"", ""29a827543e367d37f1a75ccc86b3b7e971a14b5fecf50ae9622807703ca01bf3""]",403854,rxnorm,mapping-candidate-frame-v2,"[""au_pbs_api_v3_current_month"", ""rxnorm_cpc_20260706""]",same_active_ingredient_or_therapeutic_moiety
0.3,map_3666374e77b299796249,18bbfb222e9e7c40,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",devices_other,01360,au_mbs,ambiguous,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""fb9fbbee5282c661a13eb1211d195ccaaf70d31dfbc134cfa8bb760a361cd29f""]",GGP,us_fda_device_classification,mapping-candidate-frame-v2,"[""au_mbs_20260701_txt_pair"", ""us_fda_device_classification_20260723_complete""]",same_device_class_or_intended_use
0.5294117647058824,map_367d174e5b4db774a1f1,a9714663c9637f3e,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",medicines,15204F,au_pbs,ambiguous,positive_candidate,"[""0c613d97430e441e8eefcca09332800ccac68f177d144e6fb4b11a1c94d83b3a"", ""29a827543e367d37f1a75ccc86b3b7e971a14b5fecf50ae9622807703ca01bf3""]",2701438,rxnorm,mapping-candidate-frame-v2,"[""au_pbs_api_v3_current_month"", ""rxnorm_cpc_20260706""]",same_active_ingredient_or_therapeutic_moiety
0.2857142857142857,map_369b9c6921cc38b52113,9145ac36eabd987d,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",devices_other,05308,au_mbs,ambiguous,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""fb9fbbee5282c661a13eb1211d195ccaaf70d31dfbc134cfa8bb760a361cd29f""]",KBF,us_fda_device_classification,mapping-candidate-frame-v2,"[""au_mbs_20260701_txt_pair"", ""us_fda_device_classification_20260723_complete""]",same_device_class_or_intended_use
0.03571428571428571,map_36b9cbb278360b96472e,706286ee3b8c4731,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",medicines,12967L,au_pbs,hard,negative_candidate,"[""0c613d97430e441e8eefcca09332800ccac68f177d144e6fb4b11a1c94d83b3a"", ""29a827543e367d37f1a75ccc86b3b7e971a14b5fecf50ae9622807703ca01bf3""]",806396,rxnorm,mapping-candidate-frame-v2,"[""au_pbs_api_v3_current_month"", ""rxnorm_cpc_20260706""]",same_active_ingredient_or_therapeutic_moiety
0.3076923076923077,map_36de25abde5b814a41b3,4788bc04c0981f50,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",genomics_coverage,35523,au_mbs,ambiguous,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""62b5797ed86396877650fb69963685ce4c3218a15f87de1ce1d524819373c8df""]",HP:6000086,hpo,mapping-candidate-frame-v2,"[""au_mbs_20260701_txt_pair"", ""hpo_current_20260723""]",same_gene_phenotype_analyte_or_test_family_linkage
0.3333333333333333,map_37096e8eb2e42a7cd763,23ee27fe0c2b3674,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",devices_other,06688,au_mbs,ambiguous,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""fb9fbbee5282c661a13eb1211d195ccaaf70d31dfbc134cfa8bb760a361cd29f""]",HPZ,us_fda_device_classification,mapping-candidate-frame-v2,"[""au_mbs_20260701_txt_pair"", ""us_fda_device_classification_20260723_complete""]",same_device_class_or_intended_use
0.6666666666666666,map_37204982e86a1cfec2b6,4803526277f3462a,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",procedures_pathology,86965,au_mbs,ambiguous,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""d1dc10fd298e1125641bfd774e7adfa6f6895e903a5074c7af3826c8643e7794""]",A4570,us_cms_hcpcs_level_ii,mapping-candidate-frame-v2,"[""au_mbs_20260701_txt_pair"", ""us_cms_hcpcs_level_ii_2026_07""]",clinically_comparable_service_or_test_class
0.2857142857142857,map_3782401f12d544c1bec3,7b9c417fcf2a2fbe,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",procedures_pathology,63124,au_mbs,ambiguous,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""d1dc10fd298e1125641bfd774e7adfa6f6895e903a5074c7af3826c8643e7794""]",E0942,us_cms_hcpcs_level_ii,mapping-candidate-frame-v2,"[""au_mbs_20260701_txt_pair"", ""us_cms_hcpcs_level_ii_2026_07""]",clinically_comparable_service_or_test_class
0.034482758620689655,map_378655bf6c3150698024,dccb8e4adc15b316,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",medicines,11755Q,au_pbs,hard,negative_candidate,"[""0c613d97430e441e8eefcca09332800ccac68f177d144e6fb4b11a1c94d83b3a"", ""29a827543e367d37f1a75ccc86b3b7e971a14b5fecf50ae9622807703ca01bf3""]",897683,rxnorm,mapping-candidate-frame-v2,"[""au_pbs_api_v3_current_month"", ""rxnorm_cpc_20260706""]",same_active_ingredient_or_therapeutic_moiety
0.25,map_37bc5ea7074c69dac255,5196571ff6f7a002,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",devices_other,02794,au_mbs,ambiguous,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""fb9fbbee5282c661a13eb1211d195ccaaf70d31dfbc134cfa8bb760a361cd29f""]",IWK,us_fda_device_classification,mapping-candidate-frame-v2,"[""au_mbs_20260701_txt_pair"", ""us_fda_device_classification_20260723_complete""]",same_device_class_or_intended_use
0.5,map_37c86fce9a51118237e9,de8ee29329e56966,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",medicines,13401H,au_pbs,ambiguous,positive_candidate,"[""0c613d97430e441e8eefcca09332800ccac68f177d144e6fb4b11a1c94d83b3a"", ""29a827543e367d37f1a75ccc86b3b7e971a14b5fecf50ae9622807703ca01bf3""]",858810,rxnorm,mapping-candidate-frame-v2,"[""au_pbs_api_v3_current_month"", ""rxnorm_cpc_20260706""]",same_active_ingredient_or_therapeutic_moiety
0.3125,map_381a9b9934848bff5a66,0f7305d8e0d09ab1,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",devices_other,01325,au_mbs,ambiguous,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""fb9fbbee5282c661a13eb1211d195ccaaf70d31dfbc134cfa8bb760a361cd29f""]",CHL,us_fda_device_classification,mapping-candidate-frame-v2,"[""au_mbs_20260701_txt_pair"", ""us_fda_device_classification_20260723_complete""]",same_device_class_or_intended_use
0.5555555555555556,map_382fc3106aebde71ed5f,55e53300cd7979f6,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",medicines,13512E,au_pbs,ambiguous,positive_candidate,"[""0c613d97430e441e8eefcca09332800ccac68f177d144e6fb4b11a1c94d83b3a"", ""29a827543e367d37f1a75ccc86b3b7e971a14b5fecf50ae9622807703ca01bf3""]",1000001,rxnorm,mapping-candidate-frame-v2,"[""au_pbs_api_v3_current_month"", ""rxnorm_cpc_20260706""]",same_active_ingredient_or_therapeutic_moiety
